,City,Latitude,Longitude,Temperature (F),Maximum Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Time,Time Zone
0,ponta do sol,32.6667,-17.1,73.44,74.01,63,5,1.43,PT,1624554574,3600
1,saskylakh,71.9167,114.0833,57.11,57.11,47,43,9.01,RU,1624554575,32400
2,mataura,-46.1927,168.8643,51.48,51.48,73,100,7.23,NZ,1624554575,43200
3,alta floresta,-9.8756,-56.0861,93.96,93.96,25,2,5.1,BR,1624554575,-14400
4,kapaa,22.0752,-159.319,73.31,80.92,80,40,9.22,US,1624554576,-36000
5,marsh harbour,26.5412,-77.0636,82.31,82.31,70,94,13.87,BS,1624554576,-14400
6,albany,42.6001,-73.9662,75.65,78.82,40,3,9.26,US,1624554577,-14400
7,port alfred,-33.5906,26.891,59.76,59.76,79,100,2.82,ZA,1624554577,7200
8,faanui,-16.4833,-151.75,80.58,80.58,69,45,15.82,PF,1624554577,-36000
9,butaritari,3.0707,172.7902,83.17,83.17,77,99,15.59,KI,1624554578,43200
10,grand gaube,-20.0064,57.6608,68.38,68.38,72,65,3.0,MU,1624554578,14400
11,vestmannaeyjar,63.4427,-20.2734,49.6,49.6,72,100,13.69,IS,1624554579,0
12,bambous virieux,-20.3428,57.7575,68.22,68.22,56,96,13.02,MU,1624554579,14400
13,talnakh,69.4865,88.3972,55.08,55.08,62,98,8.08,RU,1624554580,25200
14,tuktoyaktuk,69.4541,-133.0374,51.73,51.73,68,59,13.51,CA,1624554580,-21600
15,calolbon,13.596,124.0991,82.71,82.71,78,69,7.54,PH,1624554583,28800
16,new norfolk,-42.7826,147.0587,42.48,44.92,86,80,1.32,AU,1624554583,36000
17,rikitea,-23.1203,-134.9692,75.04,75.04,79,24,11.3,PF,1624554583,-32400
18,lata,40.1629,-8.3327,79.77,88.36,45,0,7.74,PT,1624554584,3600
19,mancio lima,-7.6142,-72.8958,92.52,92.52,40,39,1.48,BR,1624554584,-18000
20,comodoro rivadavia,-45.8667,-67.5,57.06,57.06,38,20,24.16,AR,1624554425,-10800
21,san cristobal,7.7669,-72.225,80.78,80.78,53,69,6.67,VE,1624554585,-14400
22,fort nelson,58.8053,-122.7002,70.3,70.3,45,100,3.58,CA,1624554552,-25200
23,kaitangata,-46.2817,169.8464,50.94,50.94,63,100,5.32,NZ,1624554586,43200
24,atar,20.5169,-13.0499,108.52,108.52,9,2,13.09,MR,1624554586,0
25,ribeira grande,38.5167,-28.7,72.0,72.0,83,75,12.66,PT,1624554586,0
26,doha,25.2867,51.5333,96.78,97.11,32,0,8.05,QA,1624554415,10800
27,mogadishu,2.0371,45.3438,77.88,77.88,81,100,16.04,SO,1624554587,10800
28,port elizabeth,-33.918,25.5701,57.09,57.09,72,100,2.8,ZA,1624554433,7200
29,emerald,-23.5333,148.1667,64.35,64.35,73,100,7.63,AU,1624554588,36000
30,mount isa,-20.7333,139.5,58.77,58.77,94,90,8.05,AU,1624554588,36000
31,chapais,49.7834,-74.8492,69.06,69.06,57,100,17.47,CA,1624554589,-14400
32,geraldton,-28.7667,114.6,46.81,46.81,87,1,10.36,AU,1624554589,28800
33,coos bay,43.3665,-124.2179,61.11,65.23,78,1,6.91,US,1624554590,-25200
34,merrill,45.1805,-89.6835,71.69,74.8,79,90,6.91,US,1624554540,-18000
35,nexo,55.0607,15.1306,62.69,62.69,84,100,12.48,DK,1624554590,7200
36,jamestown,42.097,-79.2353,76.06,78.39,44,1,5.01,US,1624554591,-14400
37,cape town,-33.9258,18.4232,53.87,55.27,62,2,6.2,ZA,1624554532,7200
38,charters towers,-20.1,146.2667,60.62,60.62,96,69,6.89,AU,1624554591,36000
39,kokoda,-8.8785,147.7407,73.26,73.26,94,100,0.31,PG,1624554592,36000
40,maniitsoq,65.4167,-52.9,41.07,41.07,90,97,5.1,GL,1624554592,-7200
41,atuona,-9.8,-139.0333,78.67,78.67,67,20,14.23,PF,1624554593,-34200
42,yellowknife,62.456,-114.3525,64.56,64.56,55,1,5.99,CA,1624554386,-21600
43,campeche,19.0,-90.5,94.57,94.57,39,5,5.7,MX,1624554594,-18000
44,penzance,50.1186,-5.5371,61.93,63.77,83,0,12.66,GB,1624554594,3600
45,pevek,69.7008,170.3133,36.28,36.28,81,65,11.9,RU,1624554594,43200
46,ushuaia,-54.8,-68.3,42.46,42.46,70,40,18.41,AR,1624554567,-10800
47,saldanha,-33.0117,17.9442,56.66,56.66,64,90,7.54,ZA,1624554595,7200
48,arraial do cabo,-22.9661,-42.0278,73.26,73.26,64,40,18.41,BR,1624554595,-10800
49,baykalovo,57.3981,63.7684,57.0,57.0,71,100,6.49,RU,1624554596,18000
50,hobart,-42.8794,147.3294,43.47,45.27,93,40,1.01,AU,1624554522,36000
51,altoona,40.5187,-78.3947,74.08,78.03,43,1,7.0,US,1624554328,-14400
52,high rock,26.6208,-78.2833,86.02,86.02,69,100,9.91,BS,1624554597,-14400
53,vaitape,-16.5167,-151.75,80.6,80.6,68,42,15.84,PF,1624554597,-36000
54,lingdong,46.5669,131.1453,68.43,68.43,54,98,7.2,CN,1624554597,28800
55,mahebourg,-20.4081,57.7,68.25,68.25,58,89,13.24,MU,1624554598,14400
56,moba,33.2288,105.0179,60.4,60.4,98,100,2.8,CN,1624554598,28800
57,norman wells,65.282,-126.8329,79.97,79.97,34,9,3.98,CA,1624554599,-21600
58,tateyama,34.9833,139.8667,72.09,73.15,84,100,8.12,JP,1624554599,32400
59,abu kamal,34.4506,40.9171,96.1,96.1,17,0,5.1,SY,1624554599,10800
60,cidreira,-30.1811,-50.2056,61.65,61.65,92,100,7.02,BR,1624554600,-10800
61,dunedin,-45.8742,170.5036,48.9,48.9,80,75,6.38,NZ,1624554600,43200
62,bredasdorp,-34.5322,20.0403,47.28,47.28,77,0,5.44,ZA,1624554601,7200
63,barrow,71.2906,-156.7887,37.42,37.42,87,90,9.22,US,1624554601,-28800
64,busselton,-33.65,115.3333,43.05,44.1,75,100,6.15,AU,1624554602,28800
65,qaanaaq,77.484,-69.3632,44.87,44.87,64,44,8.52,GL,1624554614,-10800
66,sri aman,1.2376,111.4621,72.41,72.41,97,100,2.59,MY,1624554614,28800
67,tuatapere,-46.1333,167.6833,51.82,51.82,97,100,5.26,NZ,1624554615,43200
68,olinda,-8.0089,-34.8553,71.33,71.33,88,75,16.11,BR,1624554615,-10800
69,malanje,-9.5402,16.341,71.26,71.26,32,50,2.37,AO,1624554616,3600
70,sinop,41.7711,34.8709,66.63,66.63,89,65,3.11,TR,1624554616,10800
71,bengkulu,-3.8004,102.2655,75.58,75.58,89,98,2.01,ID,1624554617,25200
72,meulaboh,4.1363,96.1285,76.75,76.75,90,30,4.79,ID,1624554618,25200
73,tabou,4.423,-7.3528,75.54,75.54,91,98,7.4,CI,1624554618,0
74,mar del plata,-38.0023,-57.5575,57.97,59.02,61,40,5.01,AR,1624554553,-10800
75,aswan,24.0934,32.907,99.27,99.27,11,0,11.63,EG,1624554620,7200
76,igunga,-4.2833,33.8833,75.76,75.76,38,76,4.0,TZ,1624554620,10800
77,idil,37.3411,41.8895,87.73,87.73,18,0,5.75,TR,1624554620,10800
78,bathsheba,13.2167,-59.5167,83.12,83.12,71,100,9.19,BB,1624554621,-14400
79,witu,-2.3889,40.4382,75.7,75.7,80,11,12.5,KE,1624554621,10800
80,doka,13.5167,35.7667,86.5,86.5,48,73,6.82,SD,1624554622,7200
81,ivanteyevka,55.9711,37.9208,88.41,89.26,59,31,6.2,RU,1624554622,10800
82,jucuaran,13.2539,-88.2478,80.98,82.9,48,100,2.04,SV,1624554623,-21600
83,gat,31.61,34.7642,78.82,81.39,100,0,8.14,IL,1624554623,10800
84,dudinka,69.4058,86.1778,51.24,51.24,65,59,7.29,RU,1624554624,25200
85,morant bay,17.8815,-76.4093,85.62,86.67,71,65,8.86,JM,1624554625,-18000
86,pimentel,-6.8367,-79.9342,70.0,70.09,76,90,3.0,PE,1624554625,-18000
87,tasiilaq,65.6145,-37.6368,42.96,42.96,96,100,4.45,GL,1624554625,-7200
88,carnarvon,-24.8667,113.6333,44.67,44.67,47,11,9.22,AU,1624554626,28800
89,cabo san lucas,22.8909,-109.9124,85.95,90.7,51,20,4.61,MX,1624554626,-21600
90,bluff,-46.6,168.3333,51.8,51.8,90,100,12.28,NZ,1624554627,43200
91,calama,-22.4667,-68.9333,68.49,68.49,7,0,13.8,CL,1624554627,-14400
92,mitsamiouli,-11.3847,43.2844,77.34,77.34,60,10,3.87,KM,1624554627,10800
93,punta arenas,-53.15,-70.9167,39.22,41.02,70,40,12.66,CL,1624554353,-10800
94,biak,-0.9131,122.8766,75.94,75.94,85,95,3.36,ID,1624554629,28800
95,ternate,0.8,127.4,79.88,79.88,79,17,3.38,ID,1624554629,32400
96,yerbogachen,61.2767,108.0108,67.53,67.53,67,53,6.2,RU,1624554630,28800
97,pangnirtung,66.1451,-65.7125,43.16,43.16,95,100,4.21,CA,1624554630,-14400
98,puerto ayora,-0.7393,-90.3518,82.36,82.36,74,88,12.3,EC,1624554631,-21600
99,yabelo,4.8833,38.0833,65.5,65.5,49,97,7.34,ET,1624554631,10800
100,prien,30.1819,-93.2738,88.86,89.58,74,40,1.99,US,1624554632,-18000
101,dingle,10.9995,122.6711,77.61,77.61,86,100,1.61,PH,1624554632,28800
102,pokhara,28.2333,83.9833,72.66,72.66,94,99,1.74,NP,1624554441,20700
103,hermanus,-34.4187,19.2345,47.8,54.9,68,0,7.11,ZA,1624554633,7200
104,konstantinovo,54.6628,29.2699,82.13,82.13,75,24,3.0,BY,1624554633,10800
105,port hardy,50.6996,-127.4199,59.07,59.07,83,100,8.75,CA,1624554633,-25200
106,marechal deodoro,-9.7103,-35.895,74.61,74.61,83,59,11.65,BR,1624554434,-10800
